id,playtime_forever,genres,year
10,17386015.0,Action,2011
10,17386015.0,Casual,2011
10,17386015.0,Indie,2011
10,17386015.0,Simulation,2011
10,17386015.0,Strategy,2011
20,961702.0,Free to Play,2011
20,961702.0,Indie,2011
20,961702.0,RPG,2011
20,961702.0,Strategy,2011
30,758991.0,Casual,2011
30,758991.0,Free to Play,2011
30,758991.0,Indie,2011
30,758991.0,Simulation,2011
30,758991.0,Sports,2011
40,154486.0,Action,2014
40,154486.0,Adventure,2014
40,154486.0,Casual,2014
50,734562.0,Action,2013
50,734562.0,Adventure,2013
50,734562.0,Simulation,2013
60,158238.0,Free to Play,2013
60,158238.0,Indie,2013
60,158238.0,Simulation,2013
60,158238.0,Sports,2013
70,2682852.0,Free to Play,2024
70,2682852.0,Indie,2024
70,2682852.0,Simulation,2024
70,2682852.0,Sports,2024
80,2503938.0,Free to Play,2015
80,2503938.0,Indie,2015
80,2503938.0,Simulation,2015
80,2503938.0,Sports,2015
100,311999.0,Action,2014
100,311999.0,Adventure,2014
100,311999.0,Casual,2014
100,311999.0,Indie,2014
100,311999.0,RPG,2014
130,441468.0,Casual,2014
130,441468.0,Indie,2014
220,10857733.0,Casual,2014
220,10857733.0,Indie,2014
220,10857733.0,Simulation,2014
240,112612047.0,Adventure,2014
240,112612047.0,Casual,2014
240,112612047.0,Indie,2014
240,112612047.0,Simulation,2014
240,112612047.0,Strategy,2014
280,495306.0,Free to Play,2013
280,495306.0,Indie,2013
280,495306.0,Simulation,2013
280,495306.0,Sports,2013
300,6137875.0,Adventure,2012
300,6137875.0,Casual,2012
300,6137875.0,Indie,2012
300,6137875.0,Simulation,2012
300,6137875.0,Strategy,2012
320,2848066.0,Free to Play,2012
320,2848066.0,Indie,2012
320,2848066.0,Simulation,2012
320,2848066.0,Sports,2012
340,345172.0,Action,2014
340,345172.0,Adventure,2014
340,345172.0,Indie,2014
360,108679.0,Racing,2012
360,108679.0,Simulation,2012
360,108679.0,Sports,2012
380,1983285.0,Racing,2012
380,1983285.0,Simulation,2012
380,1983285.0,Sports,2012
400,5230153.0,Action,2014
400,5230153.0,Indie,2014
420,2589554.0,Action,2013
420,2589554.0,Indie,2013
420,2589554.0,Racing,2013
500,13079802.0,Action,2014
500,13079802.0,Adventure,2014
550,102189423.0,Action,2013
550,102189423.0,Indie,2013
550,102189423.0,RPG,2013
620,26439449.0,Casual,2014
620,26439449.0,Indie,2014
620,26439449.0,Simulation,2014
730,785184267.0,Action,2012
730,785184267.0,Adventure,2012
730,785184267.0,RPG,2012
1002,894.0,Adventure,2012
1002,894.0,Casual,2012
1002,894.0,Indie,2012
1002,894.0,RPG,2012
1200,271409.0,Strategy,2012
1200,271409.0,RPG,2012
1210,0.0,Strategy,2012
1210,0.0,RPG,2012
1230,17401.0,Action,2024
1230,17401.0,Indie,2024
1230,17401.0,RPG,2024
1230,17401.0,Simulation,2024
1230,17401.0,Strategy,2024
1230,17401.0,Adventure,2024
1250,29992582.0,Adventure,2024
1250,29992582.0,Free to Play,2024
1250,29992582.0,RPG,2024
1250,29992582.0,Early Access,2024
1280,261666.0,Action,2015
1280,261666.0,Indie,2015
1280,261666.0,Strategy,2015
1280,261666.0,Early Access,2015
1300,10632.0,Action,2014
1300,10632.0,Adventure,2014
1300,10632.0,Indie,2014
1300,10632.0,RPG,2014
1309,81.0,Casual,2024
1309,81.0,Strategy,2024
1309,81.0,Early Access,2024
1313,2019.0,Action,2024
1313,2019.0,Indie,2024
1320,0.0,Action,2014
1320,0.0,Adventure,2014
1320,0.0,Casual,2014
1500,61855.0,Adventure,2013
1500,61855.0,Casual,2013
1500,61855.0,Free to Play,2013
1500,61855.0,Indie,2013
1510,180332.0,Action,2012
1520,221438.0,Indie,2015
1520,221438.0,Strategy,2015
1520,221438.0,Simulation,2015
1530,48400.0,Action,2015
1530,48400.0,Indie,2015
1530,48400.0,RPG,2015
1600,7135.0,Indie,2014
1600,7135.0,Simulation,2014
1600,7135.0,Action,2014
1600,7135.0,Adventure,2014
1600,7135.0,Massively Multiplayer,2014
1610,25545.0,Racing,2014
1610,25545.0,Simulation,2014
1630,21111.0,Casual,2013
1630,21111.0,Indie,2013
1640,27397.0,Casual,2015
1640,27397.0,Indie,2015
1670,4259.0,Strategy,2013
1670,4259.0,Simulation,2013
1690,98313.0,Strategy,2013
1690,98313.0,Simulation,2013
1700,19254.0,Adventure,2012
1700,19254.0,RPG,2012
1900,71310.0,Racing,2015
1900,71310.0,Action,2015
1900,71310.0,Simulation,2015
1900,71310.0,Casual,2015
1920,1445.0,Racing,2014
1920,1445.0,Action,2014
1930,162866.0,Action,2014
1930,162866.0,Adventure,2014
2100,441870.0,Strategy,2014
2100,441870.0,Simulation,2014
2130,58805.0,RPG,2015
2130,58805.0,Action,2015
2130,58805.0,Adventure,2015
2200,78675.0,Action,2014
2200,78675.0,Adventure,2014
2200,78675.0,RPG,2014
2210,73172.0,Strategy,2014
2270,32636.0,Strategy,2014
2270,32636.0,Simulation,2014
2280,78153.0,Strategy,2015
2280,78153.0,Simulation,2015
2280,78153.0,Casual,2015
2290,15646.0,Strategy,2024
2290,15646.0,Simulation,2024
2300,66762.0,Casual,2015
2300,66762.0,Indie,2015
2300,66762.0,Action,2015
2310,93387.0,Strategy,2024
2320,67628.0,Action,2014
2320,67628.0,Adventure,2014
2330,1452.0,Action,2015
2330,1452.0,Adventure,2015
2340,1197.0,Action,2015
2340,1197.0,Adventure,2015
2350,9121.0,Action,2024
2360,5172.0,Action,2013
2360,5172.0,Adventure,2013
2370,668.0,Action,2015
2390,8086.0,Action,2015
2400,1048156.0,Action,2015
2420,194048.0,Action,2024
2430,14828.0,Action,2015
2430,14828.0,Adventure,2015
2450,173980.0,Action,2014
2500,95552.0,Action,2014
2520,1339.0,Action,2014
2525,305.0,Action,2015
2540,6363.0,Action,2014
2540,6363.0,Adventure,2014
2545,3294.0,Strategy,2014
2550,6937.0,Strategy,2014
2550,6937.0,Action,2014
2570,811.0,Action,2024
2570,811.0,RPG,2024
2570,811.0,Adventure,2024
2590,16403.0,Strategy,2014
2590,16403.0,Action,2014
2600,613286.0,Strategy,2015
2600,613286.0,Action,2015
2600,613286.0,Adventure,2015
2610,24930.0,Strategy,2014
2610,24930.0,Action,2014
2610,24930.0,Simulation,2014
2620,126048.0,Strategy,2014
2630,436234.0,Casual,2024
2640,85276.0,Action,2024
2640,85276.0,Free to Play,2024
2640,85276.0,Adventure,2024
2680,0.0,Action,2015
2690,2175.0,Racing,2013
2700,942672.0,Action,2014
2700,942672.0,Adventure,2014
2710,10225.0,Action,2015
2710,10225.0,Adventure,2015
2720,667.0,Action,2015
2720,667.0,Adventure,2015
2760,467887.0,Strategy,2015
2760,467887.0,Action,2015
2780,18714.0,Casual,2015
2780,18714.0,RPG,2015
2780,18714.0,Strategy,2015
2780,18714.0,Indie,2015
2790,303.0,RPG,2015
2790,303.0,Casual,2015
2790,303.0,Adventure,2015
2800,50328.0,Strategy,2013
2800,50328.0,Simulation,2013
2810,80502.0,Action,2012
2810,80502.0,Adventure,2012
2810,80502.0,Strategy,2012
2820,688392.0,Racing,2024
2820,688392.0,Simulation,2024
2840,14328.0,Action,2024
2850,1001.0,Action,2024
2850,1001.0,Simulation,2024
2870,319095.0,Simulation,2015
2900,6978.0,Action,2015
2900,6978.0,Strategy,2015
2910,17176.0,Action,2015
2910,17176.0,Adventure,2015
2920,4775.0,Action,2015
2920,4775.0,Strategy,2015
2930,577.0,Simulation,2015
2930,577.0,Strategy,2015
2930,577.0,Casual,2015
2990,269881.0,Action,2015
2990,269881.0,Strategy,2015
3000,3882.0,Action,2013
3010,5588.0,Action,2013
3010,5588.0,Adventure,2013
3020,28752.0,Casual,2012
3020,28752.0,Indie,2012
3050,1341.0,Action,2024
3050,1341.0,Adventure,2024
3130,49028.0,Action,2015
3130,49028.0,Adventure,2015
3150,69.0,Action,2015
3160,1399.0,Action,2013
3170,115947.0,Simulation,2015
3170,115947.0,Action,2015
3200,2765.0,Casual,2014
3200,2765.0,Simulation,2014
3220,9375.0,Casual,2024
3230,4292.0,Casual,2024
3260,5190.0,Casual,2024
3270,18425.0,Casual,2024
3300,27043.0,Casual,2024
3310,8803.0,Casual,2015
3320,47785.0,Casual,2015
3330,28166.0,Simulation,2014
3340,1408.0,Casual,2015
3350,6061.0,Action,2015
3350,6061.0,Adventure,2015
3360,8379.0,Simulation,2015
3370,52124.0,Simulation,2014
3370,52124.0,Action,2014
3380,17570.0,Simulation,2013
3390,22103.0,Adventure,2015
3400,1945.0,Racing,2014
3410,4047.0,Adventure,2014
3420,548.0,Racing,2014
3430,3856.0,Casual,2015
3440,3443.0,Simulation,2013
3450,24312.0,Casual,2015
3460,8665.0,Casual,2014
3470,38590.0,Adventure,2024
3480,281161.0,Adventure,2014
3480,281161.0,RPG,2014
3483,48743.0,Adventure,2015
3483,48743.0,Indie,2015
3490,1058.0,Simulation,2015
3490,1058.0,Strategy,2015
3500,3291.0,Action,2024
3500,3291.0,Indie,2024
3500,3291.0,Casual,2024
3510,3478.0,Racing,2015
3510,3478.0,Action,2015
3520,2273.0,Adventure,2024
3520,2273.0,Action,2024
3530,2631.0,Adventure,2015
3530,2631.0,Action,2015
3540,168116.0,Racing,2013
3540,168116.0,Simulation,2013
3560,49468.0,Strategy,2014
3560,49468.0,Action,2014
3570,761.0,Strategy,2014
3580,1874.0,Strategy,2012
3580,1874.0,Simulation,2012
3580,1874.0,Action,2012
3580,1874.0,Adventure,2012
3590,3475589.0,Action,2015
3590,3475589.0,RPG,2015
3590,3475589.0,Adventure,2015
3600,13931.0,Action,2015
3600,13931.0,Adventure,2015
3610,1722.0,Action,2015
3610,1722.0,Adventure,2015
3620,75968.0,Strategy,2015
3630,43712.0,Action,2014
3630,43712.0,RPG,2014
3630,43712.0,Adventure,2014
3650,6845.0,Indie,2014
3650,6845.0,Strategy,2014
3700,185620.0,Racing,2024
3700,185620.0,Simulation,2024
3710,20362.0,Strategy,2014
3710,20362.0,Simulation,2014
3720,416597.0,Strategy,2014
3730,87893.0,Action,2014
3730,87893.0,Simulation,2014
3730,87893.0,Strategy,2014
3800,13691.0,Action,2015
3800,13691.0,Adventure,2015
3810,16613.0,Simulation,2015
3810,16613.0,Strategy,2015
3820,20080.0,RPG,2015
3820,20080.0,Strategy,2015
3820,20080.0,Action,2015
3830,989774.0,Action,2014
3830,989774.0,Strategy,2014
3900,727946.0,Indie,2024
3900,727946.0,Casual,2024
3910,510990.0,Racing,2024
3920,430435.0,Strategy,2015
3960,1014.0,Action,2014
3960,1014.0,Strategy,2014
3970,4779.0,Strategy,2015
3970,4779.0,RPG,2015
3980,12286.0,Strategy,2015
3990,139346.0,Casual,2015
4000,448366616.0,Action,2015
4100,1153.0,Casual,2014
4230,80951.0,Indie,2014
4230,80951.0,Casual,2014
4230,80951.0,Strategy,2014
4290,73938.0,Action,2014
4290,73938.0,Simulation,2014
4290,73938.0,Strategy,2014
4300,2747.0,Action,2015
4300,2747.0,Free to Play,2015
4320,746.0,Casual,2015
4320,746.0,Indie,2015
4400,0.0,Indie,2014
4400,0.0,Casual,2014
4400,0.0,Sports,2014
4410,0.0,Action,2014
4410,0.0,Adventure,2014
4410,0.0,Simulation,2014
4420,5291.0,Action,2015
4420,5291.0,Adventure,2015
4420,5291.0,Strategy,2015
4460,5344.0,Action,2015
4460,5344.0,Indie,2015
4460,5344.0,Strategy,2015
4460,5344.0,Casual,2015
4470,879.0,Simulation,2015
4500,1002556.0,Simulation,2024
4520,6374.0,Simulation,2014
4530,5677.0,Simulation,2024
4540,538970.0,Simulation,2015
4550,1022013.0,Simulation,2014
4560,2003180.0,Simulation,2015
4570,744402.0,Action,2015
4570,744402.0,Adventure,2015
4580,1881366.0,Action,2014
4580,1881366.0,Adventure,2014
4580,1881366.0,RPG,2014
4600,1074.0,RPG,2013
4600,1074.0,Action,2013
4600,1074.0,Adventure,2013
4700,5108834.0,Action,2024
4700,5108834.0,Adventure,2024
4720,45332.0,Indie,2013
4720,45332.0,Strategy,2013
4720,45332.0,Adventure,2013
4730,355.0,Action,2015
4760,3019744.0,Strategy,2024
4760,3019744.0,Indie,2024
4770,90058.0,Indie,2012
4770,90058.0,Strategy,2012
4790,0.0,Action,2014
4790,0.0,Indie,2014
4790,0.0,RPG,2014
4790,0.0,Casual,2014
4790,0.0,Adventure,2014
4800,23065.0,Strategy,2013
4830,5005.0,Action,2015
4830,5005.0,Adventure,2015
4830,5005.0,Strategy,2015
4850,46090.0,Strategy,2012
4870,12213.0,Action,2014
4880,5805.0,Action,2014
4880,5805.0,Adventure,2014
4880,5805.0,Indie,2014
4890,20408.0,Action,2015
4890,20408.0,Adventure,2015
4900,154.0,RPG,2014
4900,154.0,Adventure,2014
4920,6359246.0,Indie,2013
4920,6359246.0,Simulation,2013
6000,664253.0,Racing,2015
6000,664253.0,Action,2015
6000,664253.0,Sports,2015
6000,664253.0,Simulation,2015
6010,17047.0,Action,2014
6010,17047.0,Free to Play,2014
6020,1323500.0,Action,2013
6020,1323500.0,Indie,2013
6020,1323500.0,Casual,2013
6030,393149.0,Action,2015
6030,393149.0,Indie,2015
6040,8368.0,Action,2013
6040,8368.0,Indie,2013
6060,5318132.0,Casual,2015
6060,5318132.0,Indie,2015
6060,5318132.0,Strategy,2015
6080,22848.0,Indie,2024
6090,646.0,Simulation,2015
6090,646.0,Strategy,2015
6100,16671.0,Casual,2014
6100,16671.0,Adventure,2014
6120,85322.0,RPG,2014
6120,85322.0,Massively Multiplayer,2014
6200,43255.0,RPG,2014
6200,43255.0,Massively Multiplayer,2014
6210,8226.0,RPG,2014
6210,8226.0,Massively Multiplayer,2014
6220,42577.0,Massively Multiplayer,2014
6220,42577.0,RPG,2014
6250,68213.0,Casual,2014
6250,68213.0,RPG,2014
6270,2925.0,Casual,2015
6270,2925.0,Adventure,2015
6290,5540.0,RPG,2015
6290,5540.0,Adventure,2015
6290,5540.0,Action,2015
6300,21296.0,Strategy,2014
6310,52528.0,Action,2015
6310,52528.0,Adventure,2015
6310,52528.0,RPG,2015
6330,56382.0,Action,2015
6330,56382.0,Indie,2015
